iter	Passed	Remaining
0	2	2901
1	3	1952
2	4	1635
3	5	1431
4	6	1321
5	7	1232
6	8	1162
7	11	1480
8	12	1419
9	13	1353
10	14	1301
11	17	1424
12	18	1383
13	19	1377
14	20	1340
15	21	1305
16	22	1273
17	23	1261
18	26	1380
19	27	1363
20	28	1348
21	31	1398
22	32	1377
23	33	1354
24	34	1364
25	35	1342
26	36	1321
27	37	1303
28	38	1286
29	42	1361
30	43	1352
31	44	1336
32	45	1334
33	46	1331
34	47	1322
35	49	1318
36	50	1303
37	51	1291
38	51	1277
39	54	1311
40	56	1312
41	57	1305
42	58	1300
43	59	1294
44	60	1290
45	63	1307
46	64	1298
47	64	1286
48	65	1272
49	66	1261
50	69	1300
51	70	1292
52	71	1280
53	72	1269
54	75	1305
55	76	1297
56	78	1293
57	78	1283
58	79	1274
59	80	1262
60	81	1250
61	84	1282
62	85	1277
63	86	1268
64	87	1259
65	90	1283
66	91	1279
67	93	1281
68	94	1273
69	95	1269
70	98	1294
71	99	1286
72	101	1283
73	106	1337
74	108	1334
75	109	1328
76	110	1325
77	111	1316
78	114	1330
79	115	1329
80	116	1320
81	117	1310
82	117	1297
83	119	1300
84	120	1295
85	121	1292
86	122	1287
87	123	1280
88	124	1273
89	125	1266
90	126	1259
91	129	1281
92	131	1277
93	131	1271
94	132	1264
95	134	1265
96	135	1260
97	136	1255
98	137	1250
99	138	1245
100	139	1238
101	139	1230
102	140	1224
103	143	1235
104	145	1239
105	146	1235
106	147	1229
107	149	1234
108	150	1231
109	151	1225
110	152	1221
111	153	1214
112	153	1208
113	154	1202
114	155	1197
115	159	1214
116	161	1216
117	163	1218
118	164	1215
119	165	1212
120	166	1211
121	167	1206
122	168	1203
123	171	1213
124	173	1212
125	174	1210
126	175	1204
127	176	1201
128	177	1197
129	178	1192
130	179	1189
131	180	1184
132	180	1178
133	181	1174
134	182	1172
135	183	1168
136	184	1162
137	185	1157
138	187	1164
139	189	1161
140	190	1160
141	190	1153
142	191	1147
143	192	1142
144	192	1137
145	193	1132
146	194	1126
147	197	1137
148	198	1134
149	199	1129
150	200	1124
151	200	1119
152	202	1121
153	203	1118
154	204	1116
155	205	1112
156	206	1107
157	207	1103
158	207	1099
159	208	1094
160	209	1089
161	212	1101
162	214	1098
163	214	1095
164	216	1095
165	217	1091
166	217	1087
167	218	1082
168	219	1078
169	220	1074
170	220	1071
171	221	1066
172	222	1062
173	222	1058
174	223	1054
175	224	1050
176	227	1055
177	227	1052
178	228	1048
179	229	1044
180	230	1042
181	231	1041
182	232	1038
183	233	1036
184	234	1032
185	235	1028
186	235	1024
187	236	1020
188	237	1017
189	237	1014
190	238	1010
191	241	1017
192	242	1014
193	243	1011
194	244	1007
195	244	1004
196	246	1005
197	247	1002
198	248	1001
